Date,Time,Volume_Sensor_2003,Volume_Sensor_2004,Volume_Sensor_2005,Volume_Sensor,Speed_Sensor_2282,Speed_Sensor_2293,Volume_Total,Volume_Avg,Speed_Avg
02/07/2015,1045,64,1200,818,604,70.0,74.5,2686,671.5,72.25
02/09/2015,1630,64,1013,778,749,76.3,71.5,2604,651.0,73.9
02/09/2015,1615,75,1129,887,785,76.3,75.5,2876,719.0,75.9
02/07/2015,1030,75,919,811,620,70.0,68.5,2425,606.25,69.25
02/07/2015,1000,77,1043,815,614,59.2,70.6,2549,637.25,64.9
02/09/2015,1545,77,1090,699,883,69.1,72.2,2749,687.25,70.65
02/09/2015,1715,78,1006,978,877,77.7,63.4,2939,734.75,70.55
02/07/2015,1130,78,1123,784,614,64.6,72.5,2599,649.75,68.55
02/09/2015,1745,84,818,1058,909,75.5,61.0,2869,717.25,68.25
02/07/2015,1200,84,993,900,653,70.3,78.1,2630,657.5,74.19999999999999
02/07/2015,1115,86,1114,992,556,77.4,72.5,2748,687.0,74.95
02/09/2015,1700,86,930,960,743,75.5,34.5,2719,679.75,55.0
02/09/2015,1645,90,1005,902,711,76.3,77.0,2708,677.0,76.65
02/07/2015,1100,90,1030,897,602,77.4,41.7,2619,654.75,59.550000000000004
02/07/2015,1145,92,1130,932,581,67.3,73.8,2735,683.75,70.55
02/09/2015,1730,92,857,881,927,77.0,76.3,2757,689.25,76.65
02/07/2015,1230,100,1081,950,491,70.9,63.9,2622,655.5,67.4
02/10/2015,900,100,814,715,1076,76.3,54.0,2705,676.25,65.15
02/07/2015,1015,101,1023,883,648,59.2,75.2,2655,663.75,67.2
02/09/2015,1600,101,1164,697,945,69.1,71.8,2907,726.75,70.44999999999999
02/07/2015,915,106,1232,1241,579,70.0,74.8,3158,789.5,72.4
02/09/2015,1500,106,1119,967,1010,72.2,35.1,3202,800.5,53.650000000000006
02/07/2015,930,106,771,901,616,67.6,77.0,2394,598.5,72.3
02/07/2015,1245,106,1085,820,545,73.5,68.2,2556,639.0,70.85
02/10/2015,915,106,777,777,712,76.3,39.0,2372,593.0,57.65
02/09/2015,1515,106,1107,569,1148,72.2,72.8,2930,732.5,72.5
02/09/2015,1800,107,745,1234,958,72.8,37.3,3044,761.0,55.05
02/07/2015,1215,107,1114,915,702,69.1,67.0,2838,709.5,68.05
02/07/2015,945,107,994,867,643,67.6,73.8,2611,652.75,70.69999999999999
02/09/2015,1530,107,1182,673,879,69.1,73.8,2841,710.25,71.44999999999999
02/07/2015,900,126,888,1005,523,70.0,75.5,2542,635.5,72.75
02/09/2015,1445,126,1093,837,815,72.2,30.5,2871,717.75,51.35
02/10/2015,930,139,734,806,455,77.0,50.9,2134,533.5,63.95
02/07/2015,1300,139,872,790,586,72.8,72.5,2387,596.75,72.65
02/10/2015,945,162,719,943,649,70.9,74.2,2473,618.25,72.55000000000001
02/07/2015,1315,162,902,875,692,67.3,68.8,2631,657.75,68.05
02/07/2015,1330,194,1022,734,516,73.5,70.0,2466,616.5,71.75
02/10/2015,1000,194,793,721,824,73.1,73.8,2532,633.0,73.44999999999999
02/07/2015,1345,197,1036,718,569,72.2,62.9,2520,630.0,67.55
02/10/2015,1015,197,987,618,719,72.5,73.8,2521,630.25,73.15
02/07/2015,1415,221,1146,1085,639,70.3,73.8,3091,772.75,72.05
02/10/2015,1045,221,859,636,648,73.1,75.9,2364,591.0,74.5
02/10/2015,1030,236,1046,655,927,73.1,75.9,2864,716.0,74.5
02/07/2015,1400,236,1040,650,613,73.5,65.4,2539,634.75,69.45
02/07/2015,1430,246,1218,846,680,71.2,56.1,2990,747.5,63.650000000000006
02/10/2015,1100,246,958,628,730,72.2,70.9,2562,640.5,71.55000000000001
02/07/2015,1600,264,1128,906,681,76.6,43.6,2979,744.75,60.099999999999994
02/10/2015,1230,264,890,823,767,61.2,71.5,2744,686.0,66.35
02/10/2015,1215,296,1097,978,705,73.5,67.9,3076,769.0,70.7
02/07/2015,1545,296,1071,908,802,68.5,43.6,3077,769.25,56.05
02/10/2015,1200,298,1232,960,707,73.5,67.9,3197,799.25,70.7
02/07/2015,1530,298,1075,924,776,71.5,29.6,3073,768.25,50.55
02/07/2015,1615,329,1001,961,702,73.8,43.6,2993,748.25,58.7
02/10/2015,1245,329,898,950,747,68.8,71.5,2924,731.0,70.15
02/07/2015,1445,345,1327,914,654,74.8,55.7,3240,810.0,65.25
02/10/2015,1115,345,987,887,733,72.2,74.8,2952,738.0,73.5
02/07/2015,1500,359,1035,927,709,69.7,55.7,3030,757.5,62.7
02/10/2015,1130,359,863,778,486,71.5,68.8,2486,621.5,70.15
02/10/2015,1315,374,953,1173,668,74.5,71.5,3168,792.0,73.0
02/10/2015,1330,374,1007,628,626,64.4,71.5,2635,658.75,67.95
02/07/2015,1645,374,1028,547,712,65.1,22.0,2661,665.25,43.55
02/07/2015,1700,374,1063,517,780,71.5,22.0,2734,683.5,46.75
02/10/2015,1145,380,888,902,431,71.5,67.9,2601,650.25,69.7
02/07/2015,1515,380,1133,895,717,70.9,29.6,3125,781.25,50.25
02/10/2015,1300,406,1300,913,662,70.9,71.5,3281,820.25,71.2
02/07/2015,1630,406,1039,520,733,74.5,22.0,2698,674.5,48.25
02/10/2015,1345,414,1011,710,832,70.6,71.5,2967,741.75,71.05
02/07/2015,1715,414,1079,531,720,74.5,14.8,2744,686.0,44.65
02/09/2015,1400,415,1027,1086,784,71.5,72.5,3312,828.0,72.0
02/04/2015,1615,415,978,902,677,64.1,76.6,2972,743.0,70.35
02/06/2015,1730,415,958,774,564,68.8,44.6,2711,677.75,56.7
02/07/2015,1730,430,1091,714,859,74.5,14.8,3094,773.5,44.65
02/10/2015,1400,430,1066,688,529,75.9,72.2,2713,678.25,74.05000000000001
02/09/2015,1345,451,1008,1208,711,71.5,76.3,3378,844.5,73.9
02/06/2015,1715,451,859,932,594,68.8,58.9,2836,709.0,63.849999999999994
02/04/2015,1600,451,980,778,678,67.3,70.9,2887,721.75,69.1
02/05/2015,1600,451,867,105,776,64.4,69.7,2199,549.75,67.05000000000001
02/05/2015,1545,461,710,1009,653,61.9,69.7,2833,708.25,65.8
02/06/2015,1700,463,1046,1006,498,70.0,45.6,3013,753.25,57.8
02/09/2015,1330,463,998,1005,926,71.5,74.8,3392,848.0,73.15
02/04/2015,1545,463,1023,887,659,67.3,73.1,3032,758.0,70.19999999999999
02/07/2015,1745,468,1109,955,1140,80.1,14.8,3672,918.0,47.449999999999996
02/10/2015,1415,468,1109,889,598,71.8,72.2,3064,766.0,72.0
02/03/2015,1500,474,989,955,790,66.2,28.7,3208,802.0,47.45
02/10/2015,1715,474,1039,800,665,72.5,72.8,2978,744.5,72.65
02/05/2015,1615,474,1164,130,747,70.0,70.0,2515,628.75,70.0
02/04/2015,1730,484,1019,1234,699,61.7,58.3,3436,859.0,60.0
02/04/2015,1700,486,962,881,656,71.8,32.2,2985,746.25,52.0
02/09/2015,1315,489,1006,1117,770,71.5,74.2,3382,845.5,72.85
02/06/2015,1645,489,987,918,496,70.0,75.5,2890,722.5,72.75
02/04/2015,1530,489,949,697,690,62.6,70.6,2825,706.25,66.6
02/08/2015,915,495,1150,976,955,66.8,17.8,3576,894.0,42.3
02/10/2015,1430,498,1037,1233,509,75.9,72.2,3277,819.25,74.05000000000001
02/07/2015,1800,498,1145,995,1091,69.7,17.8,3729,932.25,43.75
02/09/2015,1415,500,1088,993,669,71.5,74.5,3250,812.5,73.0
02/04/2015,1630,500,1062,960,678,64.1,70.0,3200,800.0,67.05
02/06/2015,1745,500,987,796,555,71.2,70.9,2838,709.5,71.05000000000001
02/08/2015,930,506,1222,987,994,63.6,37.7,3709,927.25,50.650000000000006
02/06/2015,1630,509,1019,976,513,71.8,72.8,3017,754.25,72.3
02/09/2015,1300,509,921,927,1006,67.9,75.5,3363,840.75,71.7
02/04/2015,1515,509,1038,699,909,62.6,69.1,3155,788.75,65.85
02/10/2015,1530,512,1069,913,616,73.1,76.3,3110,777.5,74.69999999999999
02/03/2015,1315,512,114,861,672,69.7,68.5,2159,539.75,69.1
02/09/2015,900,515,674,995,1067,65.1,69.1,3251,812.75,67.1
02/04/2015,1715,520,1001,1058,695,61.7,33.9,3274,818.5,47.8
02/10/2015,1600,523,920,910,668,69.7,76.3,3021,755.25,73.0
02/03/2015,1345,523,886,873,699,69.1,48.0,2981,745.25,58.55
02/08/2015,900,530,1112,985,832,67.9,17.8,3459,864.75,42.85
02/10/2015,1445,530,1311,926,544,59.2,69.1,3311,827.75,64.15
02/03/2015,1430,531,999,787,731,71.8,24.0,3048,762.0,47.9
02/10/2015,1645,531,1035,130,732,71.5,77.0,2428,607.0,74.25
02/08/2015,1700,534,579,970,729,63.1,74.5,2812,703.0,68.8
02/09/2015,915,534,654,392,1042,68.5,69.1,2622,655.5,68.8
02/08/2015,1730,536,531,655,754,64.1,62.1,2476,619.0,63.099999999999994
02/05/2015,900,540,931,806,699,63.6,73.1,2976,744.0,68.35
02/09/2015,1430,541,1074,1179,726,71.5,35.1,3520,880.0,53.3
02/08/2015,945,541,1120,1027,1077,66.8,37.7,3765,941.25,52.25
02/04/2015,1645,541,1018,978,691,71.8,71.2,3228,807.0,71.5
02/06/2015,1800,541,863,939,589,71.2,74.2,2932,733.0,72.7
02/04/2015,1745,541,1089,715,694,64.1,49.1,3039,759.75,56.599999999999994
02/08/2015,1800,544,657,695,767,65.1,72.5,2663,665.75,68.8
02/08/2015,1000,545,1300,1103,1088,64.1,37.7,4036,1009.0,50.9
02/04/2015,1800,548,1095,777,612,64.1,66.0,3032,758.0,65.05
02/05/2015,915,549,1013,943,777,63.6,71.2,3282,820.5,67.4
02/04/2015,1430,550,1002,967,647,77.4,71.2,3166,791.5,74.30000000000001
02/06/2015,1545,550,1131,936,442,61.2,71.2,3059,764.75,66.2
02/09/2015,1215,550,886,458,989,68.8,70.3,2883,720.75,69.55
02/06/2015,1600,554,1151,843,493,73.5,74.5,3041,760.25,74.0
02/09/2015,1230,554,932,600,213,67.9,79.3,2299,574.75,73.6
02/04/2015,1445,554,816,569,772,61.2,73.1,2711,677.75,67.15
02/08/2015,1715,559,574,1033,746,63.1,66.8,2912,728.0,64.95
02/08/2015,1030,562,973,938,555,68.8,67.9,3028,757.0,68.35
02/10/2015,1615,565,1042,1009,497,69.7,75.5,3113,778.25,72.6
02/03/2015,1400,565,862,930,740,69.7,12.9,3097,774.25,41.300000000000004
02/03/2015,1530,568,1065,1065,726,64.4,28.6,3424,856.0,46.5
02/05/2015,1645,568,1101,800,678,59.8,71.8,3147,786.75,65.8
02/10/2015,1745,568,1041,784,618,73.8,76.3,3011,752.75,75.05
02/08/2015,1015,579,1008,848,519,62.9,67.9,2954,738.5,65.4
02/05/2015,1000,587,1184,655,514,69.7,70.9,2940,735.0,70.30000000000001
02/09/2015,1000,593,696,976,881,70.9,73.5,3146,786.5,72.2
02/08/2015,1115,595,1116,721,542,66.0,69.7,2974,743.5,67.85
02/09/2015,930,600,680,425,885,68.5,75.5,2590,647.5,72.0
02/10/2015,1800,601,1027,1083,851,71.8,77.0,3562,890.5,74.4
02/03/2015,1545,601,1032,888,828,65.7,28.6,3349,837.25,47.150000000000006
02/05/2015,1700,601,1009,778,664,67.9,70.0,3052,763.0,68.95
02/06/2015,1615,604,1063,953,482,72.2,73.1,3102,775.5,72.65
02/09/2015,1245,604,938,731,679,67.9,69.7,2952,738.0,68.80000000000001
02/04/2015,1500,604,741,673,788,65.1,71.5,2806,701.5,68.3
02/05/2015,930,606,1179,721,513,62.6,74.2,3019,754.75,68.4
02/06/2015,1530,607,1092,870,456,71.2,73.8,3025,756.25,72.5
02/04/2015,1415,607,973,837,685,66.0,71.2,3102,775.5,68.6
02/05/2015,945,607,1123,618,738,62.6,72.2,3086,771.5,67.4
02/09/2015,1200,607,866,504,896,68.8,72.8,2873,718.25,70.8
02/08/2015,1130,608,1160,750,596,66.0,69.7,3114,778.5,67.85
02/10/2015,1700,610,1133,800,733,73.5,75.5,3276,819.0,74.5
02/03/2015,1445,610,1016,752,836,66.2,24.0,3214,803.5,45.1
02/08/2015,1745,613,589,653,777,64.1,70.9,2632,658.0,67.5
02/08/2015,1645,615,531,939,755,65.7,68.8,2840,710.0,67.25
02/09/2015,945,618,658,848,948,70.9,75.5,3072,768.0,73.2
02/08/2015,1045,619,1038,707,579,73.1,67.9,2943,735.75,70.5
02/04/2015,1330,626,1137,1086,1020,73.5,68.5,3869,967.25,71.0
02/06/2015,1445,626,1030,866,361,70.6,71.8,2883,720.75,71.19999999999999
02/09/2015,1115,626,923,584,1120,63.6,72.2,3253,813.25,67.9
02/08/2015,1630,627,515,815,643,65.7,74.5,2600,650.0,70.1
02/05/2015,1115,643,1155,902,485,77.0,68.5,3185,796.25,72.75
02/08/2015,1200,645,1235,763,616,76.3,69.4,3259,814.75,72.85
02/05/2015,1330,647,1128,688,597,72.8,51.2,3060,765.0,62.0
02/08/2015,1100,648,1124,745,539,68.8,69.7,3056,764.0,69.25
02/09/2015,1015,653,725,923,1001,57.1,77.4,3302,825.5,67.25
02/03/2015,1415,654,1157,849,741,69.7,12.9,3401,850.25,41.300000000000004
02/10/2015,1630,654,1270,105,700,68.5,77.7,2729,682.25,73.1
02/08/2015,1145,657,1148,765,568,70.0,69.4,3138,784.5,69.7
02/05/2015,1315,660,996,710,641,74.2,51.1,3007,751.75,62.650000000000006
02/04/2015,1400,662,1074,1179,656,53.6,68.2,3571,892.75,60.900000000000006
02/06/2015,1515,662,1123,948,361,67.0,67.9,3094,773.5,67.45
02/09/2015,1145,662,827,467,1241,68.8,72.8,3197,799.25,70.8
02/03/2015,1600,664,1025,838,801,71.5,70.6,3328,832.0,71.05
02/05/2015,1715,664,999,784,656,70.6,71.2,3103,775.75,70.9
02/05/2015,1030,664,990,628,524,67.3,71.8,2806,701.5,69.55
02/05/2015,1130,667,1166,960,566,63.6,66.5,3359,839.75,65.05
02/04/2015,1345,671,1206,993,1025,73.5,68.8,3895,973.75,71.15
02/06/2015,1500,671,1114,891,436,67.6,72.5,3112,778.0,70.05
02/09/2015,1130,671,885,472,1120,63.6,72.2,3148,787.0,67.9
02/08/2015,1230,672,1170,941,572,65.7,74.8,3355,838.75,70.25
02/06/2015,1230,676,1060,1072,569,63.6,77.4,3377,844.25,70.5
02/04/2015,1115,676,1019,467,726,76.3,70.9,2888,722.0,73.6
02/05/2015,1400,677,1139,1233,667,69.7,72.8,3716,929.0,71.25
02/08/2015,1215,678,1074,818,579,66.2,69.4,3149,787.25,67.80000000000001
02/05/2015,1730,683,1016,1083,690,73.8,70.0,3472,868.0,71.9
02/03/2015,1615,683,996,756,731,63.1,70.6,3166,791.5,66.85
02/05/2015,1015,685,1231,636,567,69.7,77.7,3119,779.75,73.7
02/03/2015,1515,693,1009,1001,789,66.2,28.7,3492,873.0,47.45
02/05/2015,1630,693,1134,800,868,74.5,65.4,3495,873.75,69.95
02/10/2015,1730,693,1058,778,724,68.8,76.3,3253,813.25,72.55
02/05/2015,1045,696,1079,887,529,67.3,71.2,3191,797.75,69.25
02/05/2015,1800,696,1009,865,696,40.4,67.6,3266,816.5,54.0
02/03/2015,1645,696,1063,838,749,69.7,71.5,3346,836.5,70.6
02/04/2015,1230,698,1126,927,769,77.0,71.2,3520,880.0,74.1
02/06/2015,1345,698,711,828,709,68.8,20.6,2946,736.5,44.7
02/08/2015,1300,699,1123,803,490,66.8,74.8,3115,778.75,70.8
02/06/2015,1200,705,703,1189,692,63.9,72.8,3289,822.25,68.35
02/04/2015,1045,705,972,584,593,72.2,74.2,2854,713.5,73.2
02/05/2015,1100,706,1157,778,593,77.0,74.2,3234,808.5,75.6
02/08/2015,1245,709,1050,1054,668,64.1,74.8,3481,870.25,69.44999999999999
02/03/2015,900,709,1140,889,430,66.5,64.6,3168,792.0,65.55
02/05/2015,1745,709,989,789,704,58.5,74.5,3191,797.75,66.5
02/03/2015,1630,709,1086,730,827,62.9,71.5,3352,838.0,67.2
02/06/2015,1330,710,731,811,654,61.9,23.3,2906,726.5,42.6
02/04/2015,1215,710,1039,731,910,66.5,72.5,3390,847.5,69.5
02/08/2015,1615,715,488,864,1193,54.9,71.5,3260,815.0,63.2
02/05/2015,1215,717,1262,950,499,70.3,75.9,3428,857.0,73.1
02/05/2015,1345,725,1081,889,645,70.6,75.2,3340,835.0,72.9
02/09/2015,1030,726,734,871,1044,57.1,50.3,3375,843.75,53.7
02/08/2015,1445,726,487,632,523,71.2,76.3,2368,592.0,73.75
02/03/2015,1700,727,1086,854,715,70.3,70.3,3382,845.5,70.3
02/06/2015,900,727,1065,832,655,40.4,47.9,3279,819.75,44.15
02/05/2015,1300,727,1087,628,598,74.8,68.8,3040,760.0,71.8
02/06/2015,1245,728,1054,1199,613,64.9,81.3,3594,898.5,73.1
02/04/2015,1130,728,1043,504,1141,71.5,70.9,3416,854.0,71.2
02/05/2015,1245,730,1009,1173,590,72.2,65.1,3502,875.5,68.65
02/05/2015,1145,730,1156,978,386,73.5,70.3,3250,812.5,71.9
02/08/2015,1345,731,1047,862,600,70.6,73.1,3240,810.0,71.85
02/08/2015,1530,731,583,763,842,72.5,75.5,2919,729.75,74.0
02/04/2015,1315,732,1166,1208,769,68.5,74.2,3875,968.75,71.35
02/09/2015,1100,732,836,958,1000,63.6,70.0,3526,881.5,66.8
02/06/2015,1430,732,761,838,802,75.2,77.4,3133,783.25,76.30000000000001
02/03/2015,1330,737,132,1031,709,67.9,74.8,2609,652.25,71.35
02/10/2015,1545,737,947,881,643,77.7,76.3,3208,802.0,77.0
02/08/2015,1315,740,1184,882,555,70.3,72.8,3361,840.25,71.55
02/06/2015,1145,741,695,1182,586,63.9,72.8,3204,801.0,68.35
02/04/2015,1030,741,965,958,618,69.7,74.8,3282,820.5,72.25
02/08/2015,1330,741,1231,830,571,68.5,74.8,3373,843.25,71.65
02/04/2015,1245,742,624,1117,820,63.1,74.5,3303,825.75,68.8
02/06/2015,1400,742,711,789,717,68.8,28.4,2959,739.75,48.599999999999994
02/05/2015,1200,743,1221,823,663,64.1,68.5,3450,862.5,66.3
02/05/2015,1415,746,1148,926,735,73.1,72.8,3555,888.75,72.94999999999999
02/05/2015,1230,748,1264,913,531,69.7,69.7,3456,864.0,69.7
02/08/2015,1600,749,535,839,1159,48.8,72.8,3282,820.5,60.8
02/10/2015,1500,756,1165,1085,599,67.0,69.1,3605,901.25,68.05
02/03/2015,1200,756,541,938,595,66.2,71.8,2830,707.5,69.0
02/03/2015,930,756,965,916,498,67.9,74.5,3135,783.75,71.2
02/03/2015,1245,756,1043,864,645,67.3,73.1,3308,827.0,70.19999999999999
02/03/2015,1130,758,488,823,619,66.2,73.8,2688,672.0,70.0
02/06/2015,1300,759,1149,761,639,64.9,26.6,3308,827.0,45.75
02/04/2015,1145,759,957,458,1164,73.5,73.5,3338,834.5,73.5
02/06/2015,1315,760,939,733,680,61.9,15.8,3112,778.0,38.85
02/04/2015,1200,760,1026,600,785,73.1,70.6,3171,792.75,71.85
02/03/2015,1145,761,495,950,648,66.2,70.6,2854,713.5,68.4
02/04/2015,1300,771,1129,1005,733,68.5,72.5,3638,909.5,70.5
02/09/2015,1045,771,787,953,1083,57.1,72.5,3594,898.5,64.8
02/06/2015,1415,771,705,819,776,75.2,70.0,3071,767.75,72.6
02/06/2015,1115,772,807,910,488,61.4,68.5,2977,744.25,64.95
02/04/2015,1000,772,1006,871,534,70.3,70.6,3183,795.75,70.44999999999999
02/03/2015,1115,778,602,1173,562,66.2,68.2,3115,778.75,67.2
02/06/2015,1215,780,672,1213,516,63.6,80.1,3181,795.25,71.85
02/04/2015,1100,780,983,472,653,72.2,76.3,2888,722.0,74.25
02/03/2015,1715,781,1054,914,627,71.5,70.3,3376,844.0,70.9
02/06/2015,915,781,872,835,740,38.8,23.7,3228,807.0,31.25
02/06/2015,1100,788,832,951,577,58.5,72.8,3148,787.0,65.65
02/04/2015,945,788,973,923,515,67.9,68.8,3199,799.75,68.35
02/05/2015,1430,789,1242,1085,781,62.4,70.9,3897,974.25,66.65
02/08/2015,1430,789,437,633,581,77.4,77.7,2440,610.0,77.55000000000001
02/08/2015,1415,790,312,605,557,70.0,75.2,2264,566.0,72.6
02/03/2015,915,795,1099,1233,468,67.9,74.5,3595,898.75,71.2
02/06/2015,930,795,770,944,473,38.8,23.3,2982,745.5,31.049999999999997
02/03/2015,1730,795,1097,829,615,68.2,72.8,3336,834.0,70.5
02/08/2015,1515,801,514,765,809,72.5,74.8,2889,722.25,73.65
02/04/2015,930,802,941,976,544,79.7,66.5,3263,815.75,73.1
02/06/2015,1045,802,896,912,500,58.5,35.5,3110,777.5,47.0
02/05/2015,1500,805,630,913,816,49.4,73.1,3164,791.0,61.25
02/03/2015,1230,807,1002,917,657,66.2,72.5,3383,845.75,69.35
02/03/2015,1215,808,613,986,608,66.2,71.2,3015,753.75,68.7
02/06/2015,1030,811,962,935,473,64.9,24.5,3181,795.25,44.7
02/04/2015,915,811,1304,848,613,72.8,63.9,3576,894.0,68.35
02/10/2015,1515,815,1155,897,433,78.1,69.1,3300,825.0,73.6
02/03/2015,1300,815,1147,786,678,69.1,68.2,3426,856.5,68.65
02/06/2015,1000,821,1074,902,452,52.9,15.2,3249,812.25,34.05
02/03/2015,1800,821,1149,720,559,71.8,57.1,3249,812.25,64.45
02/08/2015,1545,827,572,818,1270,74.5,82.5,3487,871.75,78.5
02/08/2015,1500,828,505,593,643,75.2,72.2,2569,642.25,73.7
02/05/2015,1445,829,640,897,877,35.3,70.9,3243,810.75,53.1
02/05/2015,1515,835,678,881,637,56.1,64.6,3031,757.75,60.349999999999994
02/08/2015,1400,836,1190,725,572,70.0,77.7,3323,830.75,73.85
02/06/2015,1130,845,756,958,557,61.4,74.8,3116,779.0,68.1
02/04/2015,1015,845,925,953,600,71.5,72.8,3323,830.75,72.15
02/03/2015,1045,848,577,643,545,63.1,64.9,2613,653.25,64.0
02/04/2015,900,849,1249,1116,536,72.8,53.6,3750,937.5,63.2
02/06/2015,1015,849,1058,900,539,64.9,19.0,3346,836.5,41.95
02/06/2015,945,850,1158,894,672,52.9,24.2,3574,893.5,38.55
02/03/2015,1745,850,1085,800,534,67.6,72.8,3269,817.25,70.19999999999999
02/03/2015,945,867,809,938,530,69.7,74.5,3144,786.0,72.1
02/03/2015,1000,870,723,986,495,69.7,67.9,3074,768.5,68.80000000000001
02/03/2015,1015,898,827,1071,506,61.2,71.8,3302,825.5,66.5
02/05/2015,1530,975,756,910,694,75.9,61.2,3335,833.75,68.55000000000001
02/03/2015,1100,989,567,913,579,66.2,70.0,3048,762.0,68.1
02/03/2015,1030,990,713,1293,541,61.2,73.8,3537,884.25,67.5
